timestamp_us,x1,y1,x2,y2
0,166,194,318,398
100000,166,194,317,398
200000,165,194,316,398
300000,165,194,316,397
400000,164,194,315,397
500000,165,194,315,398
600000,165,194,316,398
700000,165,195,316,398
800000,164,195,315,399
900000,164,195,315,399
1000000,165,195,314,400
1100000,164,193,315,399
1200000,164,194,314,399
1300000,165,195,314,400
1400000,165,196,315,400
1500000,164,196,314,400
1600000,164,197,314,400
0,174,207,324,407
100000,173,207,324,407
200000,173,207,323,408
300000,173,207,323,408
400000,176,198,321,407
500000,179,190,318,391
600000,171,188,317,389
700000,168,191,316,391
800000,167,192,317,394
900000,166,195,316,396
1000000,166,197,316,396
1100000,166,198,316,397
1200000,165,199,316,398
1300000,165,199,315,400
1400000,165,199,316,401
1500000,166,199,315,402
1600000,166,199,315,401
0,169,201,321,405
100000,169,202,320,405
200000,169,202,320,405
300000,169,202,321,405
400000,169,201,321,405
500000,169,203,321,405
600000,170,202,320,406
700000,169,202,320,406
800000,170,202,320,405
900000,170,202,320,405
1000000,170,202,320,405
1100000,169,201,320,406
1200000,169,199,321,406
1300000,169,200,321,406
1400000,169,200,320,406
1500000,170,194,320,405
1600000,173,207,320,411
0,176,195,324,401
100000,175,197,323,402
200000,174,197,323,402
300000,175,197,323,402
400000,176,197,324,402
500000,176,196,324,403
600000,177,196,325,402
700000,180,197,329,404
800000,181,199,329,404
900000,179,198,327,403
1000000,179,197,327,403
1100000,179,198,327,403
1200000,179,198,327,403
1300000,179,198,327,403
1400000,179,198,327,403
1500000,184,207,328,404
1600000,193,215,344,415
0,171,197,321,404
100000,171,197,321,404
200000,172,197,321,404
300000,171,197,321,404
400000,171,199,321,405
500000,170,198,321,405
600000,170,198,321,405
700000,170,198,321,404
800000,170,198,321,405
900000,169,197,322,403
1000000,169,198,322,404
1100000,169,198,321,405
1200000,168,197,321,405
1300000,168,197,320,405
1400000,170,199,320,404
1500000,176,218,319,415
1600000,175,233,321,425
0,176,206,325,406
100000,175,206,325,406
200000,176,207,326,406
300000,176,206,326,407
400000,175,206,325,406
500000,174,208,325,406
600000,174,207,324,406
700000,173,207,324,406
800000,174,208,323,406
900000,173,205,324,407
1000000,172,206,324,406
1100000,172,207,323,407
1200000,173,207,324,407
1300000,174,208,325,407
1400000,174,208,325,407
1500000,173,207,325,407
1600000,177,206,327,407
0,163,204,316,406
100000,162,203,316,407
200000,162,203,316,406
300000,162,204,316,407
400000,162,204,316,407
500000,161,205,316,407
600000,161,205,315,407
700000,160,206,314,407
800000,160,206,314,406
900000,161,206,315,407
1000000,161,205,315,407
1100000,162,205,315,407
1200000,163,206,317,407
1300000,173,214,320,417
1400000,175,218,321,418
1500000,175,215,322,415
1600000,169,215,320,414
0,180,197,328,396
100000,178,201,326,397
200000,177,202,323,400
300000,173,203,321,402
400000,174,204,320,403
500000,175,204,320,403
600000,176,205,321,401
700000,175,204,321,401
800000,174,205,321,402
900000,176,206,321,399
1000000,176,205,321,399
1100000,176,207,319,399
1200000,176,204,320,399
1300000,173,206,318,402
1400000,171,215,317,409
1500000,170,218,317,417
1600000,169,223,317,417
0,177,199,324,400
100000,177,200,323,400
200000,176,200,323,401
300000,176,200,324,401
400000,175,198,324,401
500000,176,198,324,401
600000,176,197,324,400
700000,176,196,324,400
800000,176,197,324,400
900000,177,197,322,399
1000000,177,199,324,400
1100000,177,200,324,400
1200000,177,201,324,401
1300000,176,201,324,401
1400000,178,198,324,403
1500000,181,198,327,407
1600000,180,203,326,409
0,182,204,328,403
100000,181,204,327,404
200000,181,204,327,404
300000,180,204,326,404
400000,181,203,325,404
500000,180,203,325,404
600000,179,203,325,404
700000,179,204,325,404
800000,180,203,324,404
900000,179,204,324,404
1000000,178,203,323,403
1100000,178,203,323,404
1200000,178,204,324,404
1300000,178,205,324,403
1400000,178,204,324,404
1500000,181,206,324,408
1600000,184,215,326,410
0,177,202,322,399
100000,177,202,322,400
200000,177,202,322,400
300000,177,202,322,399
400000,177,201,322,399
500000,177,202,322,400
600000,177,202,322,400
700000,177,202,322,399
800000,177,201,322,400
900000,177,202,322,400
1000000,177,201,321,398
1100000,177,201,321,398
1200000,177,201,321,398
1300000,177,201,320,398
1400000,177,202,320,400
1500000,178,201,320,400
1600000,178,204,322,404
0,178,198,323,395
100000,178,198,323,395
200000,178,199,323,396
300000,178,199,323,395
400000,179,199,323,394
500000,179,198,323,394
600000,179,198,323,394
700000,178,200,323,396
800000,178,200,322,397
900000,177,201,321,400
1000000,177,200,320,402
1100000,176,200,320,400
1200000,176,199,321,399
1300000,177,199,320,400
1400000,177,199,320,400
1500000,177,199,320,402
1600000,178,200,321,398
0,178,196,319,393
100000,178,196,319,393
200000,178,196,319,393
300000,178,196,319,393
400000,178,197,319,393
500000,177,197,319,394
600000,175,196,319,393
700000,175,196,318,394
800000,176,196,319,394
900000,177,196,319,393
1000000,177,196,319,393
1100000,180,197,319,392
1200000,182,194,319,390
1300000,180,197,319,394
1400000,179,197,319,396
1500000,179,202,319,398
1600000,185,205,327,405
0,177,201,321,400
100000,177,200,321,399
200000,177,201,320,399
300000,177,201,320,400
400000,177,201,320,399
500000,177,202,320,399
600000,176,202,319,402
700000,176,203,319,404
800000,176,202,319,404
900000,175,202,319,404
1000000,174,203,319,403
1100000,174,203,319,403
1200000,173,203,320,403
1300000,173,202,319,403
1400000,174,205,318,403
1500000,174,206,318,404
1600000,177,208,320,405
0,188,201,333,396
100000,188,201,332,398
200000,188,201,333,397
300000,188,200,333,398
400000,188,201,333,398
500000,188,201,333,398
600000,188,201,332,398
700000,188,202,333,398
800000,188,202,332,398
900000,187,202,332,398
1000000,187,202,332,396
1100000,189,200,332,397
1200000,188,202,331,398
1300000,189,202,332,397
1400000,188,202,333,397
1500000,188,201,333,397
1600000,189,199,332,398
0,182,214,329,407
100000,182,215,328,407
200000,182,215,330,407
300000,182,215,329,407
400000,182,215,328,407
500000,182,215,329,407
600000,182,214,329,407
700000,182,214,328,406
800000,185,215,329,407
900000,182,214,328,406
1000000,183,214,328,405
1100000,183,210,330,404
1200000,184,211,329,403
1300000,184,212,327,403
1400000,183,211,330,404
1500000,186,217,331,405
1600000,185,219,328,411
0,178,207,322,404
100000,178,206,321,404
200000,178,207,320,404
300000,177,206,320,404
400000,177,207,320,405
500000,177,207,319,404
600000,177,207,320,404
700000,177,208,320,404
800000,178,208,320,404
900000,178,208,320,404
1000000,177,208,320,405
1100000,176,208,319,405
1200000,176,208,319,405
1300000,176,209,319,405
1400000,176,210,319,405
1500000,175,215,318,407
1600000,175,214,318,407
0,176,212,318,406
100000,176,212,318,406
200000,176,213,318,406
300000,176,213,318,406
400000,178,212,319,406
500000,178,212,319,405
600000,179,212,320,405
700000,179,213,319,405
800000,179,213,319,405
900000,179,213,320,405
1000000,180,212,321,405
1100000,180,212,321,405
1200000,180,212,321,405
1300000,179,211,321,405
1400000,180,211,321,405
1500000,179,213,320,404
1600000,179,217,319,403
0,185,207,331,403
100000,185,207,331,403
200000,185,207,331,403
300000,185,207,330,403
400000,184,207,330,403
500000,183,206,329,402
600000,183,208,329,403
700000,183,208,328,403
800000,183,208,328,404
900000,184,208,327,404
1000000,183,207,326,404
1100000,183,208,326,404
1200000,183,208,327,404
1300000,185,209,328,404
1400000,185,209,327,404
1500000,186,209,328,405
1600000,191,210,338,404
0,178,219,319,405
100000,178,220,318,405
200000,176,221,318,404
300000,174,220,318,404
400000,175,220,318,405
500000,175,220,318,405
600000,175,220,318,405
700000,175,220,318,406
800000,175,220,318,406
900000,174,220,319,406
1000000,179,220,318,405
1100000,178,214,319,400
1200000,177,213,320,400
1300000,178,214,318,398
1400000,178,208,317,401
1500000,176,209,318,397
1600000,174,210,319,397
0,185,205,326,401
100000,185,205,326,401
200000,186,206,326,402
300000,185,207,327,401
400000,185,206,327,402
500000,185,206,327,401
600000,186,207,328,402
700000,186,210,328,401
800000,186,210,329,401
900000,187,210,330,402
1000000,183,210,328,402
1100000,184,206,327,398
1200000,181,210,323,402
1300000,180,218,321,408
1400000,181,220,322,408
1500000,182,225,323,414
1600000,182,235,324,421
