timestamp_us,x1,y1,x2,y2
0,226,171,416,452
100000,226,170,416,452
200000,226,170,416,452
300000,226,171,416,452
400000,226,171,416,452
500000,226,172,416,452
600000,226,172,417,452
700000,226,172,417,451
800000,226,172,416,452
900000,227,172,416,452
1000000,227,171,416,452
1100000,226,171,416,452
1200000,226,171,416,454
1300000,226,171,416,457
1400000,228,173,417,455
1500000,237,178,429,459
1600000,255,178,449,454
0,218,170,404,452
100000,218,171,404,453
200000,218,170,404,453
300000,218,171,404,453
400000,218,171,404,453
500000,220,149,403,421
600000,222,142,401,412
700000,221,147,401,419
800000,221,147,401,420
900000,219,149,399,423
1000000,218,151,397,425
1100000,218,151,398,422
1200000,217,152,399,424
1300000,217,152,398,424
1400000,215,152,398,425
1500000,213,153,396,427
1600000,212,154,395,429
0,219,163,407,440
100000,220,163,408,441
200000,220,163,408,441
300000,220,163,408,441
400000,220,162,410,441
500000,220,162,410,441
600000,220,163,409,441
700000,219,163,408,441
800000,219,163,408,441
900000,220,163,407,440
1000000,220,161,406,436
1100000,220,163,406,438
1200000,221,164,409,440
1300000,223,164,410,440
1400000,222,166,410,442
1500000,221,168,409,443
1600000,222,168,409,443
0,227,180,418,459
100000,229,181,416,460
200000,228,181,417,461
300000,228,181,417,461
400000,228,182,416,460
500000,228,183,416,462
600000,228,183,416,461
700000,228,183,416,462
800000,228,184,416,462
900000,228,184,416,460
1000000,230,184,416,461
1100000,229,184,417,462
1200000,229,186,416,462
1300000,231,186,418,461
1400000,239,205,426,474
1500000,251,231,449,484
1600000,253,248,458,497
0,233,182,420,462
100000,233,183,420,463
200000,233,183,421,462
300000,235,183,419,464
400000,233,182,420,463
500000,233,183,421,463
600000,233,183,421,463
700000,233,183,422,464
800000,233,184,421,465
900000,234,184,421,466
1000000,235,184,421,466
1100000,239,204,427,477
1200000,252,227,444,488
1300000,263,247,459,504
1400000,279,267,479,509
1500000,313,266,519,507
1600000,329,246,539,500
0,230,171,417,444
100000,230,173,417,445
200000,231,177,419,448
300000,232,178,418,449
400000,231,181,418,450
500000,230,184,417,454
600000,230,182,418,452
700000,230,180,417,450
800000,231,178,418,449
900000,231,177,419,449
1000000,232,178,420,450
1100000,232,179,420,450
1200000,232,178,420,450
1300000,234,180,419,453
1400000,244,195,435,464
1500000,266,213,457,482
1600000,290,239,486,500
0,230,182,419,458
