timestamp_us,x1,y1,x2,y2
0,209,176,363,389
100000,209,175,364,390
200000,208,174,363,389
300000,207,175,363,390
400000,207,174,362,389
500000,207,173,363,388
600000,208,170,363,387
700000,209,168,363,386
800000,207,167,363,385
900000,207,167,363,385
1000000,208,168,363,385
1100000,207,168,362,386
1200000,207,170,363,387
1300000,208,171,363,387
1400000,207,171,362,387
1500000,207,175,361,388
1600000,207,179,360,392
0,211,166,364,382
100000,210,166,365,383
200000,211,166,364,382
300000,210,166,364,383
400000,211,166,365,382
500000,211,166,365,383
600000,207,160,362,381
700000,211,163,364,380
800000,216,154,367,368
900000,219,147,370,362
1000000,218,145,368,361
1100000,217,141,368,360
1200000,217,129,368,363
1300000,216,138,366,363
1400000,216,149,369,368
1500000,217,163,373,378
1600000,220,167,372,392
0,218,170,371,387
100000,215,169,366,384
200000,214,167,365,383
300000,215,171,367,385
400000,216,173,368,386
500000,217,174,369,386
600000,217,174,368,386
700000,217,175,368,386
800000,217,175,369,386
900000,216,171,369,388
1000000,217,171,370,388
1100000,216,171,369,388
1200000,216,171,369,389
1300000,217,171,371,388
1400000,217,173,369,389
1500000,216,183,367,390
1600000,218,171,370,390
0,212,168,363,384
100000,212,167,364,383
200000,212,169,363,384
300000,213,168,365,384
400000,213,168,365,384
500000,213,171,365,385
600000,214,172,366,385
700000,214,173,365,386
800000,213,173,364,385
900000,214,172,365,384
1000000,214,171,365,384
1100000,213,172,365,386
1200000,214,173,366,387
1300000,214,173,366,386
1400000,211,174,364,386
1500000,212,173,365,386
1600000,213,172,365,385
0,211,168,363,383
100000,211,168,363,383
200000,211,166,363,382
300000,210,168,361,382
400000,210,168,361,381
500000,210,166,360,380
600000,209,168,358,381
700000,208,170,358,382
800000,209,167,359,380
900000,209,168,359,380
1000000,209,169,359,381
1100000,209,168,360,381
1200000,210,169,361,382
1300000,210,169,362,383
1400000,211,169,362,383
1500000,212,169,363,383
1600000,212,170,362,383
0,213,172,366,382
100000,213,172,366,383
200000,213,173,365,383
300000,213,173,366,383
400000,213,173,365,383
500000,212,174,363,384
600000,212,172,363,384
700000,210,169,363,384
800000,212,170,364,385
900000,212,171,363,384
1000000,212,174,363,385
1100000,212,171,364,385
1200000,212,168,364,384
1300000,212,170,363,384
1400000,212,171,363,385
1500000,212,170,363,384
1600000,212,170,363,386
0,209,167,358,380
100000,209,169,358,380
200000,209,167,358,379
300000,208,170,358,380
400000,208,170,358,381
500000,208,170,358,380
600000,208,170,358,380
700000,206,168,356,379
800000,206,168,356,379
900000,208,167,358,380
1000000,209,168,360,382
1100000,210,169,360,382
1200000,209,169,360,382
1300000,209,170,360,383
1400000,210,169,362,382
1500000,211,167,362,383
1600000,212,165,363,380
0,213,174,362,381
100000,214,174,363,381
200000,214,174,363,381
300000,213,174,362,381
400000,212,173,363,382
500000,213,174,363,382
600000,213,174,362,381
700000,212,174,363,382
800000,212,174,362,382
900000,213,175,362,381
1000000,213,177,362,381
1100000,213,178,362,382
1200000,214,178,362,383
1300000,215,181,364,382
1400000,215,167,364,379
1500000,214,164,362,376
1600000,216,152,362,371
0,214,171,364,381
100000,214,171,364,382
200000,214,175,364,383
300000,213,173,364,383
400000,213,174,363,382
500000,213,171,364,383
600000,215,172,365,382
700000,215,171,365,382
800000,215,171,365,382
900000,214,172,364,382
1000000,214,174,364,383
1100000,213,176,363,384
1200000,215,176,364,384
1300000,214,172,365,383
1400000,212,173,363,384
